source,brand,model,year,price,city,mileage_km,mileage_missing,body_type,engine_volume_l,fuel_type,transmission,drive_type,steering_wheel,color,condition,car_age,is_new
cars_ml,ВАЗ,(Lada) Largus,2014,2400000,Алматы,460000,0,wagon,1.6,petrol,manual,fwd,left,unknown,used,12,0
cars_ml,Chevrolet,Seeker,2023,9900000,Караганда,11000,0,crossover,1.5,petrol,variator,fwd,left,синий металлик,used,3,0
cars_ml,Lexus,GS 350,2015,14500000,Алматы,188888,0,sedan,3.5,petrol,automatic,rwd,left,unknown,used,11,0
cars_ml,Toyota,Land Cruiser,2004,7200000,Актобе,111111,0,suv,4.5,petrol-gas,manual,awd,left,unknown,used,22,0
cars_ml,BYD,Seal 05,2025,8390000,Караганда,20,0,sedan,1.5,hybrid,variator,fwd,left,белый,used,1,0
cars_ml,ВАЗ,(Lada) Priora 2172,2013,2800000,Караганда,203000,0,hatchback,1.6,petrol,manual,fwd,left,белый металлик,used,13,0
cars_ml,Hyundai,Tucson Classic AT 4WD,2022,11490000,Астана,46461,0,crossover,2.0,petrol,automatic,awd,left,белый,used,4,0
cars_ml,Lexus,RX 300,2022,26300000,Караганда,57000,0,crossover,2.0,petrol,automatic,awd,left,unknown,used,4,0
cars_ml,Audi,Q8,2023,35300000,Алматы,19788,0,crossover,3.0,petrol,automatic,awd,left,синий,used,3,0
cars_ml,Li,L7,2024,23500000,Алматы,48000,0,crossover,1.5,hybrid,automatic,awd,left,unknown,used,2,0
cars_ml,Renault,Duster,2013,3500000,Астана,326276,0,crossover,1.6,petrol,manual,awd,left,белый,used,13,0
cars_ml,Chevrolet,Nexia,2021,3990000,Караганда,92603,0,sedan,1.5,petrol,manual,fwd,left,серый,used,5,0
cars_ml,BYD,Qin L DM-i Leading,2025,10790000,Тараз,-1,1,sedan,1.5,hybrid,automatic,fwd,left,фиолетовый,unknown,1,0
cars_ml,Mercedes-Benz,GLE Coupe 450 AMG,2015,24900000,Алматы,92000,0,crossover,3.0,petrol,automatic,awd,left,черный,used,11,0
cars_ml,Audi,Q5,2008,6500000,Алматы,255000,0,crossover,2.0,petrol,automatic,awd,left,черный,used,18,0
cars_ml,Subaru,Legacy,1991,550000,Алматы,77777,0,wagon,1.8,petrol,manual,awd,left,красный,used,35,0
cars_ml,Hyundai,Tucson,2025,15000000,Алматы,-1,1,crossover,2.0,petrol,automatic,fwd,left,unknown,unknown,1,0
cars_ml,Toyota,Corolla,2018,8500000,Алматы,79162,0,sedan,1.6,petrol,variator,fwd,left,белый металлик,used,8,0
cars_ml,Volkswagen,Passat,1996,2200000,Актобе,-1,1,wagon,1.8,petrol,manual,fwd,left,unknown,unknown,30,0
cars_ml,Kia,Morning,2013,4150000,Алматы,117623,0,hatchback,1.0,petrol,automatic,fwd,left,бежевый,used,13,0
cars_ml,FAW,T80,2024,8000000,Актау,15,0,van,1.5,petrol,automatic,rwd,left,белый,used,2,0
cars_ml,ГАЗ,ГАЗель NEXT A31R33,2026,16125000,Актау,-1,1,van,2.7,petrol,manual,rwd,left,unknown,unknown,0,0
cars_ml,ГАЗ,Соболь 27527,2026,12096000,Актау,-1,1,van,2.7,petrol,manual,awd,left,unknown,unknown,0,0
cars_ml,FAW,T80,2024,7500000,Актау,15,0,van,1.5,petrol,automatic,rwd,left,белый,used,2,0
cars_ml,Chevrolet,Onix LTZ,2025,6990000,Актау,-1,1,sedan,1.2,petrol,automatic,fwd,left,unknown,unknown,1,0
cars_ml,Hyundai,Sonata,2020,9300000,Алматы,106000,0,sedan,1.6,petrol,automatic,fwd,left,черный,used,6,0
cars_ml,Nissan,Almera,2017,4400000,Шымкент,108865,0,sedan,1.6,petrol,automatic,fwd,left,белый,used,9,0
cars_ml,Honda,Odyssey,1996,2600000,Талгар,-1,1,minivan,2.2,petrol,automatic,fwd,right,красный металлик,unknown,30,0
cars_ml,ГАЗ,ГАЗель NEXT A22R33,2025,13372000,Павлодар,-1,1,pickup,2.7,petrol,manual,rwd,left,белый,unknown,1,0
cars_ml,ГАЗ,ГАЗель NEXT A32R33,2025,16629000,Павлодар,-1,1,van,2.7,petrol,manual,rwd,left,белый,unknown,1,0
cars_ml,ВАЗ,(Lada) Kalina 1118,2010,670000,Алматы,647257,0,sedan,1.4,petrol,manual,fwd,left,серебристый,used,16,0
cars_ml,BYD,Destroyer 05,2025,7897000,Алматы,-1,1,sedan,1.5,hybrid,automatic,fwd,left,unknown,unknown,1,0
cars_ml,Subaru,Legacy,2002,2500000,Тараз,120000,0,wagon,2.0,petrol,automatic,awd,right,белый металлик,used,24,0
cars_ml,Kia,Rio,2014,4600000,Семей,300000,0,hatchback,1.4,petrol,automatic,fwd,left,коричневый,used,12,0
cars_ml,FAW,T80,2025,7500000,Уральск,20,0,van,1.5,petrol,manual,rwd,left,белый,used,1,0
cars_ml,УАЗ,Профи Комфорт,2025,15670000,Уральск,25,0,pickup,2.7,petrol,manual,awd,left,белый,used,1,0
cars_ml,Jaecoo,J7,2023,8000000,Шымкент,29205,0,suv,1.6,petrol,robot,fwd,left,белый,used,3,0
cars_ml,Chevrolet,Cobalt,2021,5050000,Шымкент,81327,0,sedan,1.5,petrol,automatic,fwd,right,черный,used,5,0
cars_ml,BMW,X5 XDrive 40i,2024,37740000,Алматы,13495,0,crossover,3.0,petrol,automatic,awd,left,черный металлик,used,2,0
cars_ml,AITO,M7 Ultra 4WD 5s,2025,26300000,Алматы,-1,1,crossover,1.5,hybrid,automatic,awd,left,серебристый,unknown,1,0
cars_ml,AITO,M7 Plus 4WD 5s,2025,23200000,Алматы,-1,1,suv,1.5,hybrid,automatic,awd,left,серый металлик,unknown,1,0
cars_ml,Haval,Jolion Elite 1.5T DCT (2WD),2025,8437800,Алматы,-1,1,crossover,1.5,petrol,manual,fwd,left,красный металлик,unknown,1,0
cars_ml,Haval,H9 Premium,2025,19711500,Алматы,-1,1,suv,2.0,petrol,automatic,awd,left,зеленый,unknown,1,0
cars_ml,Haval,H5 Elite,2025,14607300,Алматы,-1,1,suv,2.0,petrol,automatic,awd,left,черный,unknown,1,0
cars_ml,AITO,M9 Ultra 6s,2025,46700000,Алматы,-1,1,suv,1.5,hybrid,automatic,awd,left,черный,unknown,1,0
cars_ml,AITO,M9 Ultra 5s,2025,45700000,Алматы,-1,1,suv,1.5,hybrid,automatic,awd,left,синий,unknown,1,0
cars_ml,Haval,M6 Comfort 1.5T DCT,2024,7863800,Алматы,10,0,crossover,1.5,petrol,robot,fwd,left,белый металлик,used,2,0
cars_ml,ВАЗ,(Lada) Granta 2190,2020,3500000,Тараз,105000,0,sedan,1.6,petrol,manual,fwd,left,белый металлик,used,6,0
