iter	Passed	Remaining
1084	2260	18570
1085	2262	18570
1086	2264	18569
1087	2266	18566
1088	2268	18563
1089	2270	18560
1090	2272	18561
1091	2274	18555
1092	2276	18550
1093	2278	18551
1094	2281	18551
1095	2283	18547
1096	2284	18542
1097	2286	18539
1098	2288	18536
1099	2291	18540
1100	2293	18539
1101	2295	18537
1102	2298	18536
1103	2300	18535
1104	2302	18531
1105	2304	18535
1106	2306	18532
1107	2308	18529
1108	2310	18526
1109	2312	18522
1110	2315	18522
1111	2316	18518
1112	2318	18513
1113	2321	18515
1114	2322	18510
1115	2325	18509
1116	2326	18502
1117	2328	18502
1118	2330	18499
1119	2332	18496
1120	2334	18492
1121	2336	18489
1122	2340	18500
1123	2342	18497
1124	2344	18495
1125	2346	18489
1126	2348	18487
1127	2349	18482
1128	2351	18478
1129	2353	18475
1130	2356	18476
1131	2357	18470
1132	2360	18473
1133	2362	18469
1134	2365	18472
1135	2367	18475
1136	2369	18471
1137	2372	18475
1138	2374	18473
1139	2376	18469
1140	2377	18462
1141	2379	18455
1142	2381	18454
1143	2383	18449
1144	2385	18449
1145	2388	18451
1146	2391	18459
1147	2393	18459
1148	2396	18457
1149	2397	18454
1150	2400	18455
1151	2405	18473
1152	2408	18482
1153	2411	18484
1154	2414	18487
1155	2416	18491
1156	2418	18487
1157	2421	18491
1158	2424	18497
1159	2427	18500
1160	2430	18504
1161	2432	18503
1162	2435	18505
1163	2437	18506
1164	2441	18511
1165	2443	18512
1166	2446	18515
1167	2449	18521
1168	2452	18524
1169	2455	18530
1170	2460	18554
1171	2464	18561
1172	2466	18563
1173	2469	18568
1174	2471	18565
1175	2476	18579
1176	2478	18580
1177	2480	18580
1178	2483	18580
1179	2485	18576
1180	2487	18574
1181	2489	18575
1182	2492	18574
1183	2494	18575
1184	2497	18575
1185	2499	18575
1186	2502	18577
1187	2505	18582
1188	2509	18595
1189	2511	18593
1190	2513	18588
1191	2515	18584
1192	2517	18588
1193	2521	18593
1194	2523	18594
1195	2525	18593
1196	2527	18589
1197	2529	18583
1198	2531	18578
1199	2533	18581
1200	2537	18588
1201	2540	18597
1202	2542	18595
1203	2544	18590
1204	2547	18590
1205	2550	18594
1206	2554	18610
1207	2556	18606
1208	2558	18605
1209	2560	18600
1210	2562	18596
1211	2564	18592
1212	2567	18599
1213	2570	18604
1214	2574	18611
1215	2576	18612
1216	2579	18613
1217	2581	18615
1218	2584	18619
1219	2588	18625
1220	2589	18620
1221	2592	18620
1222	2594	18617
1223	2596	18613
1224	2598	18610
1225	2600	18610
1226	2602	18607
1227	2604	18606
1228	2606	18604
1229	2608	18598
1230	2610	18592
1231	2612	18592
1232	2615	18595
1233	2617	18596
1234	2620	18595
1235	2622	18594
1236	2624	18592
1237	2627	18594
1238	2631	18603
1239	2633	18606
1240	2635	18604
1241	2637	18599
1242	2639	18592
1243	2640	18587
1244	2643	18588
1245	2646	18590
1246	2648	18590
1247	2651	18592
1248	2654	18595
1249	2656	18594
1250	2658	18590
1251	2661	18596
1252	2665	18606
1253	2668	18609
1254	2670	18608
1255	2672	18606
1256	2674	18599
1257	2676	18597
1258	2678	18596
1259	2680	18595
1260	2682	18592
1261	2684	18588
1262	2686	18583
1263	2689	18585
1264	2690	18581
1265	2692	18577
1266	2695	18576
1267	2697	18574
1268	2698	18569
1269	2700	18564
1270	2702	18559
1271	2704	18554
1272	2705	18550
1273	2708	18553
1274	2711	18556
1275	2713	18550
1276	2716	18555
1277	2718	18553
1278	2720	18548
1279	2722	18544
1280	2724	18546
1281	2727	18544
1282	2728	18538
1283	2730	18534
1284	2732	18533
1285	2734	18531
1286	2737	18530
1287	2740	18533
1288	2741	18529
1289	2743	18527
1290	2746	18526
1291	2748	18521
1292	2749	18517
1293	2752	18515
1294	2755	18519
1295	2756	18515
1296	2758	18509
1297	2760	18506
1298	2762	18500
1299	2763	18493
1300	2765	18491
1301	2767	18486
1302	2769	18483
1303	2771	18480
1304	2772	18475
1305	2774	18471
1306	2776	18468
1307	2778	18464
1308	2780	18463
1309	2782	18457
1310	2784	18456
1311	2787	18456
1312	2790	18459
1313	2791	18453
1314	2794	18453
1315	2796	18455
1316	2799	18456
1317	2801	18451
1318	2804	18455
1319	2806	18451
1320	2808	18452
1321	2810	18449
1322	2813	18449
1323	2814	18445
1324	2816	18440
1325	2818	18437
1326	2820	18434
1327	2822	18431
1328	2824	18430
1329	2827	18428
1330	2829	18430
1331	2832	18432
1332	2834	18428
1333	2836	18423
1334	2837	18420
1335	2839	18417
1336	2841	18411
1337	2843	18410
1338	2845	18407
1339	2849	18412
1340	2850	18408
1341	2852	18403
1342	2855	18404
1343	2856	18397
1344	2858	18393
1345	2860	18389
1346	2862	18387
1347	2863	18381
1348	2865	18377
1349	2867	18373
1350	2869	18370
1351	2871	18365
1352	2873	18361
1353	2874	18357
1354	2876	18350
1355	2878	18350
1356	2880	18347
1357	2883	18346
1358	2884	18342
1359	2887	18341
1360	2890	18349
1361	2892	18346
1362	2894	18342
1363	2896	18339
1364	2898	18334
1365	2900	18331
1366	2902	18331
1367	2904	18325
1368	2906	18321
1369	2908	18318
1370	2909	18312
1371	2911	18310
